#      ux        uy        KI         Px        Py
8.671e-06 9.925e-06 4.038e+00 -5.127e-01 2.015e+00
3.469e-04 3.970e-04 1.615e+02 -2.051e+01 8.055e+01
6.937e-04 7.940e-04 3.231e+02 -4.102e+01 1.611e+02
1.041e-03 1.191e-03 4.846e+02 -6.153e+01 2.416e+02
1.387e-03 1.588e-03 6.462e+02 -8.222e+01 3.193e+02
1.734e-03 1.985e-03 8.077e+02 -1.028e+02 3.991e+02
1.748e-03 2.001e-03 8.142e+02 -1.036e+02 4.023e+02
1.762e-03 2.017e-03 8.206e+02 -1.044e+02 4.055e+02
1.776e-03 2.033e-03 8.271e+02 -1.052e+02 4.087e+02
1.790e-03 2.048e-03 8.335e+02 -1.061e+02 4.119e+02
1.804e-03 2.064e-03 8.400e+02 -1.069e+02 4.151e+02
1.818e-03 2.080e-03 8.465e+02 -1.104e+02 2.903e+02
1.831e-03 2.096e-03 8.529e+02 -1.113e+02 2.925e+02
1.845e-03 2.112e-03 8.594e+02 -1.118e+02 2.840e+02
1.859e-03 2.128e-03 8.658e+02 -1.127e+02 2.862e+02
1.873e-03 2.144e-03 8.723e+02 -1.135e+02 2.883e+02
