1.900e-05 4.064e-07 4.038e+00 9.490e-01 -5.215e-01
3.800e-04 8.128e-06 8.077e+01 1.898e+01 -1.043e+01
7.601e-04 1.626e-05 1.615e+02 3.796e+01 -2.086e+01
1.140e-03 2.438e-05 2.423e+02 5.693e+01 -3.135e+01
1.520e-03 3.251e-05 3.231e+02 7.591e+01 -4.181e+01
1.900e-03 4.064e-05 4.038e+02 9.486e+01 -5.240e+01
2.280e-03 4.877e-05 4.846e+02 1.138e+02 -6.289e+01
2.660e-03 5.690e-05 5.654e+02 1.328e+02 -7.337e+01
3.040e-03 6.503e-05 6.462e+02 1.517e+02 -8.443e+01
3.420e-03 7.315e-05 7.269e+02 1.706e+02 -9.504e+01
3.428e-03 7.332e-05 7.285e+02 1.710e+02 -9.525e+01
3.436e-03 7.348e-05 7.302e+02 1.714e+02 -9.546e+01
3.443e-03 7.364e-05 7.318e+02 1.717e+02 -9.568e+01
3.451e-03 7.380e-05 7.334e+02 1.721e+02 -9.589e+01
3.458e-03 7.397e-05 7.350e+02 1.725e+02 -9.610e+01
3.466e-03 7.413e-05 7.366e+02 1.729e+02 -9.631e+01
3.474e-03 7.429e-05 7.382e+02 1.733e+02 -9.652e+01
3.481e-03 7.445e-05 7.398e+02 1.662e+02 -1.430e+02
3.489e-03 7.462e-05 7.415e+02 1.665e+02 -1.433e+02
3.496e-03 7.478e-05 7.431e+02 1.669e+02 -1.436e+02
3.504e-03 7.494e-05 7.447e+02 1.673e+02 -1.439e+02
